"id","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","forum.posts","levels.complete","avatar.requests","teacher.requests","customize.character","facebook","time.in.session","av.seconds.per.task",school,gender,citystatus,famsize,Pstatus,Mjob,Fjob,schoolsup,famsup
19,GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,9,65,42,64,0,no,260,81.575,1,2,2,1,2,4,4,1,2
20,GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,6,55,34,120,5,no,220,74.8,1,2,2,2,2,2,3,1,1
21,GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,10,20,22,100,8,no,40,33.5,1,2,2,1,2,5,3,1,1
22,GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,8,70,36,46,0,no,350,101.85,1,2,2,1,2,2,2,1,2
23,GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,14,200,34,50,7,no,1000,65,1,2,2,2,2,5,3,1,1
24,GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,5,120,44,100,4,no,120,81.6,1,2,2,2,2,3,3,1,2
25,GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,9,285,20,42,3,no,855,484.5,1,1,1,1,2,4,2,2,2
26,GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,4,35,44,63,0,yes,175,58.975,1,1,2,1,2,4,4,1,2
27,GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,5,30,18,92,1,yes,90,2.25,1,2,2,1,2,3,3,1,2
28,GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,5,15,24,44,4,no,30,6.9,1,2,2,1,2,2,4,1,1
29,GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,8,40,28,72,11,no,200,54.4,1,2,2,2,1,4,3,2,2
30,GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,26,30,28,69,1,no,30,21.15,1,2,2,1,2,5,5,1,2
31,GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,7,90,38,21,1,no,450,9,1,2,2,1,2,2,4,1,2
32,GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,12,120,10,30,3,no,120,97.8,1,2,2,1,2,4,4,1,2
33,GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,20,130,20,135,2,no,650,5.2,1,2,1,1,2,5,1,1,2
34,GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,4,76,26,50,7,no,304,63.08,1,2,2,2,2,3,3,1,1
35,GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,12,25,34,120,1,no,75,10.75,1,2,2,1,2,3,3,1,2
36,GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,10,85,14,88,4,no,340,4.25,1,1,2,1,2,3,3,1,2
37,GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,10,96,18,28,2,no,96,88.8,1,2,2,2,2,5,4,1,2
38,GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,26,135,14,52,19,no,540,41.85,1,2,1,1,1,3,5,1,2
39,GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,8,75,42,92,1,no,75,8.25,1,1,1,1,2,4,2,2,2
40,GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,7,26,12,108,2,yes,26,11.83,1,1,1,1,2,1,3,2,2
41,GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,14,78,30,110,1,no,234,63.96,1,1,2,2,2,3,3,1,2
42,GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,yes,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,24,5,32,63,1,no,15,2.75,1,2,2,2,2,5,3,1,2
43,GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,5,10,18,29,0,no,10,9.1,1,2,2,1,2,4,5,1,2
44,GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,yes,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,8,8,28,95,0,no,24,9.48,1,2,2,1,2,4,4,2,2
45,GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,6,20,20,105,5,no,40,11.1,1,1,2,2,2,3,1,2,1
46,GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,26,60,32,42,7,no,60,43.2,1,1,2,2,1,3,3,2,2
47,GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,9,30,26,25,7,no,30,32.7,1,1,2,2,1,3,4,1,2
48,GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,13,48,18,34,6,no,192,6.24,1,2,2,1,2,2,4,1,1
49,GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,5,190,20,46,3,no,760,34.2,1,2,2,1,2,5,3,1,2
50,GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,7,96,26,25,1,no,288,80.16,1,1,2,1,2,4,5,2,2
51,GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,10,40,12,54,1,no,160,53.2,1,1,2,2,2,4,4,1,2
52,GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,12,180,26,60,1,no,540,224.1,1,1,2,2,2,2,3,1,2
53,GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,no,no,no,yes,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,10,55,24,38,11,no,275,64.9,1,2,2,2,1,2,2,1,1
54,GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,9,70,26,50,4,no,350,29.05,1,1,2,1,2,4,4,2,2
55,GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,9,8,20,50,19,no,16,0.6,1,1,2,2,1,3,3,1,1
56,GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,8,32,22,100,23,no,32,14.08,1,1,2,1,1,3,3,1,1
57,GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,5,36,22,116,3,no,36,24.84,1,1,2,1,1,4,4,1,2
58,GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,6,40,10,60,2,yes,160,10.4,1,2,2,1,2,5,2,1,2
59,GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,10,190,24,135,2,no,570,168.15,1,2,2,2,2,3,1,2,2
60,GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,7,180,26,93,1,no,720,62.1,1,1,2,1,2,4,3,1,2
61,GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,7,112,8,99,2,no,560,127.68,1,1,1,1,2,2,5,1,2
62,GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,20,85,32,100,2,no,170,92.225,1,1,2,1,2,4,4,2,2
63,GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,4,16,20,78,6,no,32,7.36,1,1,2,2,2,3,4,2,1
64,GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,12,96,36,27,4,no,96,128.16,1,1,2,1,2,5,2,2,2
65,GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,18,80,38,50,8,no,160,75.6,1,1,2,2,2,4,4,2,1
66,GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,11,14,32,124,1,no,28,17.57,1,1,2,2,2,5,4,1,2
67,GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,18,228,42,92,3,no,1140,348.84,1,2,2,1,1,3,4,1,2
68,GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,4,300,26,95,2,no,1200,123,1,1,2,1,2,4,3,2,2
69,GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,9,88,30,21,2,no,440,134.64,1,1,1,2,2,2,4,2,2
70,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,yes,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,5,168,22,60,1,no,504,27.72,1,1,1,2,2,3,3,1,2
71,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,12,140,38,120,1,no,700,4.2,1,2,2,1,2,3,3,1,2
72,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,9,180,36,60,6,no,900,302.4,1,2,2,1,2,3,3,1,1
73,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,yes,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,20,20,14,96,0,no,40,13.9,1,1,1,1,2,3,3,2,2
74,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,13,35,10,130,7,no,35,33.425,1,2,2,1,2,3,3,1,1
75,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,13,60,18,110,1,no,120,69,1,1,2,1,2,3,4,2,2
76,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,6,90,18,88,0,no,90,17.55,1,2,2,1,2,5,3,1,2
77,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,10,36,22,92,5,no,108,35.82,1,2,2,1,2,5,3,1,1
78,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,8,60,26,26,8,no,60,17.1,1,1,2,1,2,3,3,1,1
79,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,0,30,40,90,2,no,90,40.8,1,2,2,1,2,3,3,2,2
80,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,7,24,40,92,2,yes,72,7.44,1,1,2,1,2,1,3,1,2
81,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,6,48,24,22,2,no,48,72.96,1,2,2,1,2,3,4,2,2
82,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,yes,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,4,60,32,38,6,no,120,68.1,1,2,2,1,2,3,3,2,1
83,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,10,130,22,69,4,no,390,161.85,1,1,2,2,2,4,3,1,2
84,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,8,160,20,50,8,no,640,184,1,2,2,2,2,4,4,1,1
85,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,7,32,14,75,4,no,96,9.6,1,1,2,1,2,3,3,1,2
86,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,26,110,34,115,7,no,550,23.1,1,1,2,1,2,4,4,1,1
87,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,3,44,14,24,2,no,44,59.62,1,1,2,2,2,1,3,1,2
88,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,5,9,10,90,2,no,18,15.615,1,1,2,1,2,3,3,1,2
89,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,9,84,40,88,6,yes,420,22.68,1,2,2,1,2,4,3,1,1
90,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,14,50,24,72,19,no,150,48.5,1,2,2,2,1,5,2,1,2
91,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11,26,120,28,100,3,no,360,99.6,1,1,2,1,2,3,3,1,2
92,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13,14,5,36,135,5,yes,10,1.8,1,1,2,1,2,4,3,1,1
93,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,yes,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12,13,32,20,100,0,no,160,57.44,1,1,2,2,2,3,3,2,2
94,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,9,32,32,27,0,no,96,2.24,1,1,2,1,2,5,4,1,2
95,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12,8,208,18,92,2,no,1040,164.32,1,2,2,2,2,4,2,1,2
96,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13,2,32,38,130,0,no,128,29.76,1,1,1,1,2,1,3,2,2
97,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11,10,40,34,20,4,yes,40,48.6,1,2,1,1,2,4,3,2,2
98,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12,18,100,18,75,3,no,500,73.5,1,1,2,1,2,3,3,1,2
99,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,7,18,22,75,7,no,18,30.33,1,1,2,1,2,3,3,1,1
100,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,yes,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13,12,18,34,50,2,no,54,9.63,1,1,2,1,2,3,1,2,2
101,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8,11,64,46,18,4,yes,192,58.56,1,2,2,1,2,4,4,2,2
102,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,18,48,8,128,2,no,240,72.24,1,2,2,1,2,4,5,1,2
103,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12,12,40,16,25,1,no,80,64.8,1,2,2,1,2,4,3,1,2
104,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10,6,44,36,42,1,yes,132,22.66,1,1,2,1,2,4,3,2,2
105,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,5,40,14,96,7,no,80,66.4,1,2,2,1,1,4,3,1,2
106,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,yes,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10,7,48,16,40,23,yes,96,56.16,1,1,2,1,1,3,2,2,1
107,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,yes,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10,12,192,44,100,0,no,192,25.92,1,1,2,1,2,3,3,2,2
108,GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14,4,45,14,54,2,no,90,51.075,1,2,2,1,2,4,3,1,2
109,GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11,26,80,16,22,2,yes,80,68.4,1,2,1,1,2,3,3,1,2
110,GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14,10,240,16,150,1,no,240,16.8,1,1,2,2,2,2,2,1,2
111,GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14,5,56,14,108,11,no,56,8.96,1,2,2,2,1,5,5,1,1
112,GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11,11,60,42,110,2,no,240,82.8,1,1,1,1,2,4,3,2,2
113,GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10,9,150,36,36,5,yes,750,238.5,1,1,2,1,2,1,3,2,1
114,GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,2,1,1,3,10,18,17,18,5,27,4,140,6,no,108,25.38,1,2,2,2,2,5,3,1,1
115,GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10,6,150,32,19,4,no,600,99,1,2,1,1,2,2,4,1,1
116,GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,6,16,14,14,7,100,26,30,3,yes,400,122.5,1,2,2,1,2,5,5,1,2
117,GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,4,16,15,16,12,72,12,93,1,no,288,23.4,1,2,2,1,2,3,5,1,2
118,GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,6,14,14,15,6,5,18,84,4,yes,5,3.925,1,2,2,1,2,3,4,1,1
